               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037874,             0.03491,            0.014984,             0.92661,             0.51241,             0.58222,             0.40639,            0.030645,            0.022926,           0.0098769,            0.002872,            0.002872,            0.002872
                  38,            0.036228,            0.035106,             0.01457,             0.92925,              0.5315,             0.58697,             0.42108,            0.030383,            0.022732,           0.0097188,            0.002674,            0.002674,            0.002674
                  39,            0.035747,            0.035106,            0.013956,              0.9239,             0.53097,             0.58906,             0.42841,            0.029856,             0.02234,           0.0095104,            0.002476,            0.002476,            0.002476
                  40,            0.036518,             0.03532,            0.014007,             0.93198,             0.53724,             0.59323,             0.43331,            0.029613,            0.022163,           0.0094208,            0.002278,            0.002278,            0.002278
                  41,            0.035488,            0.035615,              0.0137,             0.94248,             0.53148,             0.59885,             0.43828,             0.02897,            0.021578,           0.0091722,             0.00208,             0.00208,             0.00208
                  42,            0.035513,            0.034236,            0.013948,             0.94123,             0.52982,             0.59946,             0.43718,            0.029147,             0.02172,           0.0090561,            0.001882,            0.001882,            0.001882
                  43,            0.034272,            0.036086,            0.012753,             0.94112,             0.53601,             0.60127,              0.4426,            0.028527,             0.02154,           0.0089646,            0.001684,            0.001684,            0.001684
                  44,            0.033904,            0.031848,            0.013049,             0.93853,             0.54246,             0.60116,             0.44344,            0.028116,            0.021345,            0.008822,            0.001486,            0.001486,            0.001486
                  45,            0.034469,            0.033043,            0.013325,             0.94074,             0.54346,             0.60271,             0.44845,            0.027936,            0.021195,           0.0087669,            0.001288,            0.001288,            0.001288
                  46,            0.032828,            0.031558,            0.013205,             0.94018,             0.55053,             0.60363,             0.45264,            0.027782,            0.021023,           0.0086846,             0.00109,             0.00109,             0.00109
                  47,            0.034074,            0.034263,            0.013024,             0.93352,             0.55113,             0.60266,             0.45661,             0.02752,            0.020913,             0.00861,            0.000892,            0.000892,            0.000892
                  48,            0.033467,            0.033358,            0.013847,             0.94138,             0.54944,             0.60547,             0.46149,             0.02717,            0.020804,           0.0085533,            0.000694,            0.000694,            0.000694
                  49,            0.032367,            0.032447,            0.012477,             0.94361,             0.55195,             0.60848,              0.4641,            0.027114,             0.02083,           0.0084973,            0.000496,            0.000496,            0.000496
